local_noon_str,local_noon_lst,ra_sun,dec_sun,lon_E,lat_E,ra_E,dec_E,ha_E,lon_W,lat_W,ra_W,dec_W,ha_W,lon_S,lat_S,ra_S,dec_S,ha_S,lon_S_Long,lat_S_Long,ra_S_Long,dec_S_Long,ha_S_Long,lon_S_Long2,lat_S_Long2,ra_S_Long2,dec_S_Long2,ha_S_Long2,lon_S_Long_Long,lat_S_Long_Long,ra_S_Long_Long,dec_S_Long_Long,ha_S_Long_Long,lon_SE,lat_SE,ra_SE,dec_SE,ha_SE,lon_SW,lat_SW,ra_SW,dec_SW,ha_SW,lon_SSE,lat_SSE,ra_SSE,dec_SSE,ha_SSE,lon_SSW,lat_SSW,ra_SSW,dec_SSW,ha_SSW
2024-06-25T04:16:01,94.479,94.10622063558989,23.38227622505448,123.7703792346964,-0.0033052345184428704,126.08904489583695,19.30476938120153,31.982824260247057,63.77037923469641,-0.0033052345184428704,61.76818628885913,20.902384840649617,-32.338034346730765,93.7703792346964,-30.00330523451844,93.2897632949973,-6.607114749468683,-0.8164573405925921,93.77037923469639,-50.00330523451844,92.7120713184505,-26.599550190582274,,93.77037923469639,-50.00330523451844,92.7120713184505,-26.599550190582274,,93.77037923469639,-70.00330523451845,91.87703173285863,-46.58861482131381,-2.2291889027312664,120.3354304117744,-14.480817420448362,119.45148887169651,5.910403182123114,25.34526823610662,67.20532805761842,-14.480817420448362,67.78657551853327,7.218221971928272,-26.319645117056623,109.87249298668242,-25.662211507773723,107.87922514804745,-3.448227715026522,13.773004512457561,77.6682654827104,-25.662211507773723,78.89197376733962,-2.6970489156547632,-15.214246868250271
2024-06-26T04:16:14,95.517,95.14452745493392,23.351719898554183,124.72402544160857,-0.003271936969635162,127.0700400298063,19.078740904026155,31.92551257487237,64.72402544160857,-0.003271936969635162,62.771963373737606,21.078924270546583,-32.372564081196316,94.72402544160857,-30.003271936969632,94.12079229173781,-6.631595876838079,-1.0237351631961076,94.72402544160856,-50.00327193696964,93.39726175378237,-26.619731383557706,-1.747265701151548,94.72402544160856,-50.00327193696964,93.39726175378237,-26.619731383557706,,94.72402544160856,-70.00327193696964,92.35118750157294,-46.60257537493752,,121.28907661868656,-14.480784122899555,120.35994518680683,5.721308583430101,25.215417731872904,68.15897426453058,-14.480784122899555,68.70658886879505,7.358841608384504,-26.43793858613887,110.82613919359459,-25.662178210224916,108.7321101284094,-3.5673391290063083,13.587582673475481,78.62191168962256,-25.662178210224916,79.74959690409571,-2.6267209845584643,-15.394930550838211
2024-06-27T04:16:26,96.554,96.1822822942573,23.314326584499394,125.67765098965415,-0.003231750987320126,128.0483117811462,18.847549079699817,31.86602948688889,65.67765098965415,-0.003231750987320126,63.77806442908864,21.24955075472878,-32.40421786516867,95.67765098965415,-30.003231750987318,94.95166755371764,-6.661556663940789,-1.2306147405396644,95.67765098965414,-50.003231750987325,94.08238709033387,-26.644433375738384,,95.67765098965414,-50.003231750987325,94.08238709033387,-26.644433375738384,-2.099895203923438,95.67765098965414,-70.00323175098733,92.82525261329893,-46.619664988407294,,122.24270216673214,-14.48074393691724,121.26697324972999,5.527039230224844,25.08469095547268,69.11259981257616,-14.48074393691724,69.62773131421426,7.493786463223564,-26.554550980043047,111.77976474164016,-25.6621380242426,109.58432439885773,-3.6917864723446057,13.402042104600426,79.57553723766814,-25.6621380242426,80.60759567684235,-2.5619761525475826,-15.574686617414955
2024-06-28T04:16:39,97.591,97.21942472285441,23.270108984178837,126.63129718650268,-0.0031864421141696783,129.02388505788556,18.611263799617547,31.804460335031152,66.63129718650268,-0.0031864421141696783,64.786478461488,21.414203649391638,-32.43294626136641,96.63129718650268,-30.003186442114167,95.78239814257546,-6.696992885414403,-1.4370265802789532,96.63129718650266,-50.00318644211417,94.76746701443423,-26.67365510567867,,96.63129718650266,-50.00318644211417,94.76746701443423,-26.67365510567867,,96.63129718650266,-70.00318644211417,93.29923121988091,-46.63988441796635,-3.920193502973504,123.19634836358067,-14.48069862804409,122.17259670496915,5.327641714437696,24.95317198211474,70.06624600942469,-14.48069862804409,70.55000657970074,7.62301877630283,-26.669418143153678,112.73341093848869,-25.66209271536945,110.43588406416801,-3.821545210992898,13.216459341313595,80.52918343451667,-25.66209271536945,81.46597684779766,-2.502830355663884,-15.75344787505675
2024-06-29T04:16:51,98.628,98.25584224873774,23.219084024690282,127.58495659291987,-0.0031380593792251017,129.9967379197546,18.369967275078366,31.740895671016858,67.58495659291987,-0.0031380593792251017,65.7971397718666,21.5728148600271,-32.45870247687114,97.58495659291987,-30.003138059379225,96.61295087217842,-6.737897988626533,-1.6428913765593194,97.58495659291985,-50.003138059379225,95.4524862512771,-26.70739402327784,-2.803355997460642,97.58495659291985,-50.003138059379225,95.4524862512771,-26.70739402327784,,97.58495659291985,-70.00313805937922,93.77310311454958,-46.66323364545,,124.15000776999786,-14.480650245309144,123.0767947535889,5.123173193248386,24.820952504851164,71.01990541584188,-14.480650245309144,71.4733696370573,7.746494930131642,-26.782472611680433,113.68707034490588,-25.66204433263451,111.28676271802807,-3.956583728940653,13.030920469290336,81.48284284093386,-25.66204433263451,82.32470268308282,-2.4493019384058172,-15.931139565654917
2024-06-30T04:17:03,99.663,99.29145418100795,23.16126979039874,128.53864995477207,-0.0030887783041018842,130.966880424117,18.123735348358814,31.675426243109044,68.53864995477208,-0.0030887783041018842,66.81000918338718,21.72532266004189,-32.48144499762077,98.53864995477208,-30.0030887783041,97.44331737834807,-6.784265507301147,-1.8481368026598801,98.53864995477207,-50.003088778304104,96.13744985642259,-26.745648050115665,,98.53864995477207,-50.003088778304104,96.13744985642259,-26.745648050115665,-3.154004324585358,98.53864995477207,-70.0030887783041,94.24686197228037,-46.68971318525331,,125.10370113185007,-14.480600964234021,123.97957532751445,4.913685700835616,24.688121146506504,71.9735987776941,-14.480600964234021,72.39780106398028,7.864176364715735,-26.893653117027668,114.6407637067581,-25.661995051559384,112.13696022776206,-4.09687337342891,12.84550604675411,82.43653620278607,-25.661995051559384,83.1837602116007,-2.4014064170395,-16.10769396940725
2024-07-01T04:17:14,100.697,100.32615190668082,23.09668857862064,129.4923710899534,-0.0030407458011475997,131.93429839668212,17.87265151528288,31.608146490001303,69.49237108995341,-0.0030407458011475997,67.82501566143348,21.87166272982736,-32.50113624524734,99.49237108995341,-30.003040745801147,98.27346617321231,-6.836086563154357,-2.0526857334685076,99.4923710899534,-50.00304074580115,96.82234365834961,-26.788413487785615,,99.4923710899534,-50.00304074580115,96.82234365834961,-26.788413487785615,,99.4923710899534,-70.00304074580114,94.72048797752923,-46.719322586214425,-5.605663929151589,126.0574222670314,-14.480552931731067,124.88092287483,4.699238066899361,24.554770968149185,72.92731991287542,-14.480552931731067,73.32325371515749,7.976022612794788,-27.00289819152333,115.59448484193942,-25.66194701905643,112.98645361787797,-4.24238053215825,12.66030171119715,83.3902573379674,-25.66194701905643,84.04311164092393,-2.3591594225991455,-16.283040265756895
2024-07-02T04:17:26,101.731,101.35985942703216,23.025363615804167,130.44614248355992,-0.0029959293222649066,132.89900997260827,17.616792640269868,31.539150545576106,70.44614248355992,-0.0029959293222649066,68.84211539897628,22.011777230635168,-32.51774402805589,100.44614248355992,-30.002995929322264,99.10339110687323,-6.893352451478308,-2.2564683201589304,100.44614248355991,-50.00299592932227,97.50717422476856,-26.83568712185961,-3.8526852022636007,100.44614248355991,-50.00299592932227,97.50717422476856,-26.83568712185961,,100.44614248355991,-70.00299592932227,95.1939754653612,-46.75206184090699,,127.01119366063791,-14.480508115252185,125.78085102464814,4.479883794750148,24.42099159761598,73.88109130648193,-14.480508115252185,74.24970665306203,8.081998310959818,-27.11015277397013,116.54825623554594,-25.661902202577547,113.83524668919539,-4.393074707528748,12.475387262163224,84.34402873157391,-25.661902202577547,84.90274448361876,-2.3225737769579387,-16.4571149434134
2024-07-03T04:17:37,102.763,102.39245053403852,22.947324671448428,131.3999387315176,-0.0029559930772447155,133.86098807430844,17.356249414555265,31.46853754026992,71.39993873151761,-0.0029559930772447155,69.86121029270586,22.145603569059443,-32.531240241332654,101.39993873151761,-30.002955993077244,99.93304480702938,-6.956050087783692,-2.459405727009141,101.3999387315176,-50.002955993077244,98.19191393359603,-26.887462437313303,,101.3999387315176,-50.002955993077244,98.19191393359603,-26.887462437313303,-4.20053660044249,101.3999387315176,-70.00295599307725,95.66729494594979,-46.78792872435511,,127.9649899085956,-14.480468179007165,126.67933035094958,4.2556886080327025,24.286879816911068,74.83488755443962,-14.480468179007165,75.17709086478287,8.18206467818159,-27.215359669255648,117.50205248350362,-25.661862266332527,114.68330192879361,-4.548916472973483,12.290851394755094,85.2978249795316,-25.661862266332527,85.76260262138625,-2.291662461095314,-16.629847912652266
2024-07-04T04:17:48,103.794,103.42383379214678,22.86260257573737,132.3537647378773,-0.002922196700613395,134.82023961830697,17.09110562948802,31.39640582616019,72.3537647378773,-0.002922196700613395,70.88223131485758,22.273086341796027,-32.5416024772892,102.3537647378773,-30.002922196700613,100.76240680105658,-7.024166364604208,-2.6614269910901953,102.35376473787728,-50.00292219670062,98.87655717177276,-26.943733193190383,,102.35376473787728,-50.00292219670062,98.87655717177276,-26.943733193190383,,102.35376473787728,-70.00292219670061,96.14043197303015,-46.82692123831604,-7.283401819116634,128.91881591495527,-14.480434382630532,127.57636225914152,4.026712745411786,24.152528466994738,75.78871356079931,-14.480434382630532,76.10536524105233,8.276188606926763,-27.318468551094455,118.45587848986331,-25.661828469955896,115.5306101949646,-4.709869519232395,12.106776402817815,86.25165098589129,-25.661828469955896,86.6226568388062,-2.266435247469973,-16.801176953340587
