local_noon_str,local_noon_lst,ha_S_Long2,beam_S_Long2,sun_attenuation_S_Long2,target_sensitivity_S_Long2,ha_SSE,beam_SSE,sun_attenuation_SSE,target_sensitivity_SSE,ha_SE,beam_SE,sun_attenuation_SE,target_sensitivity_SE,ha_E,beam_E,sun_attenuation_E,target_sensitivity_E,ha_S,beam_S,sun_attenuation_S,target_sensitivity_S,ha_SSW,beam_SSW,sun_attenuation_SSW,target_sensitivity_SSW,ha_SW,beam_SW,sun_attenuation_SW,target_sensitivity_SW,ha_W,beam_W,sun_attenuation_W,target_sensitivity_W,ha_S_Long,beam_S_Long,sun_attenuation_S_Long,target_sensitivity_S_Long,ha_S_Long_Long,beam_S_Long_Long,sun_attenuation_S_Long_Long,target_sensitivity_S_Long_Long
2024-06-17T04:14:18,86.162,nan,-1,nan,nan,8.981302362756168,29,-3.043409246649615,0.8394826382407262,11.521571733135573,61,-3.1673541962192546,0.6898783877349033,58.4831304881759,144,-3.10929992141958,0.4377251639772137,40.46727271666933,67,-3.1023264938512503,0.47126606823546385,-9.00113081177173,36,-3.0442768215972014,0.8584725514666377,-11.541400182151136,68,-3.166734560585788,0.7366672850124245,-46.43667942788929,89,-3.038203471196396,0.46023434074612346,26.495791179582596,18,-3.113638048213408,0.5645637272644605,nan,-1,nan,nan
2024-06-18T04:14:31,87.202,26.495791179582596,18,-3.1127218534077046,0.5639221751915722,8.981302362756168,29,-3.0503018428669186,0.8420607252760827,11.521571733135573,61,-3.16895982033938,0.6952664242790547,58.4831304881759,144,-3.107827281793166,0.43889640089682924,40.46727271666933,67,-3.098352466190602,0.4709548519810875,-9.00113081177173,36,-3.0511655818552876,0.8553306712035295,-11.541400182151136,68,-3.1683544121740663,0.7307758376100325,-46.470104024867965,89,-3.038805970966419,0.45290490939151345,nan,-1,nan,nan,nan,-1,nan,nan
2024-06-19T04:14:44,88.242,nan,-1,nan,nan,8.981302362756168,29,-3.0553202413591305,0.8448280614746219,11.521571733135573,61,-3.1701165979413335,0.7006393224185851,58.4831304881759,144,-3.1067727548797883,0.4401046342992379,-41.48983907504518,62,-3.175342907106419,0.3924759596264029,-9.00113081177173,36,-3.056181148914366,0.8523380693999711,-11.541400182151136,68,-3.1695214729443912,0.7232860412438458,-46.470104024867965,89,-3.039250114313165,0.4457535514108317,nan,-1,nan,nan,70.48256080352073,156,-3.236041947004127,0.4499292277151534
2024-06-20T04:14:57,89.282,nan,-1,nan,nan,8.981302362756168,29,-3.0583973475469524,0.847783812777614,11.521571733135573,61,-3.1708208182254394,0.7059157490449446,58.4831304881759,144,-3.10613340457516,0.4413493969615771,-41.48983907504518,62,-3.1745047852741615,0.3923752238233606,-9.00113081177173,36,-3.059256502724956,0.8494953241357802,-11.541400182151136,68,-3.170231966936515,0.7174450573337162,-58.46953434021279,137,-3.1065284040449717,0.4440737070795483,-26.482195031619483,15,-3.110018873194481,0.5212807688221278,nan,-1,nan,nan
2024-06-21T04:15:10,90.322,-26.482195031619483,15,-3.1098771681159723,0.5211893398054472,8.981302362756168,29,-3.05949160200259,0.8507529800628715,11.521571733135573,61,-3.1710703206667206,0.7113760609397395,58.4831304881759,144,-3.105907359224322,0.4426302199035209,-41.48983907504518,62,-3.1742085550256416,0.3923398380388029,-9.00113081177173,36,-3.060350131017971,0.846802985265176,-11.541400182151136,68,-3.170483694591065,0.7117863760155603,-58.46953434021279,137,-3.1063011307394195,0.44291602516882245,nan,-1,nan,nan,nan,-1,nan,nan
2024-06-22T04:15:23,91.361,nan,-1,nan,nan,8.981302362756168,29,-3.0585887961564855,0.8492732540513953,11.521571733135573,61,-3.1708645057142695,0.7170186211466985,58.4831304881759,144,-3.106093806507633,0.4438264353846588,-41.48983907504518,62,-3.1744528889303174,0.3923697660381641,-9.00113081177173,36,-3.059447841896078,0.8480159533895687,-11.541400182151136,68,-3.17027604396358,0.706311433071016,-58.46953434021279,137,-3.106488590820936,0.44163026388103216,nan,-1,nan,nan,-70.46896465555761,153,-3.234117577151137,0.4496512553801716
2024-06-23T04:15:36,92.401,nan,-1,nan,nan,8.981302362756168,29,-3.0557026668599137,0.8521017953936034,11.521571733135573,61,-3.1702043285492247,0.7228417916399295,46.48370017283108,96,-3.038308559821404,0.44506572074474254,-41.48983907504518,62,-3.175238332846355,0.3924649669760177,-9.00113081177173,36,-3.0565633573028155,0.8450454021898354,-11.541400182151136,68,-3.169609984560984,0.7010216368309723,-58.46953434021279,137,-3.1070910398847036,0.4403809179487053,-26.482195031619483,15,-3.110369556938835,0.5634362585019798,nan,-1,nan,nan
2024-06-24T04:15:49,93.44,-26.482195031619483,15,-3.1110041146307377,0.5638807290978272,8.981302362756168,29,-3.050874224049168,0.855079141873548,11.521571733135573,61,-3.169092278483303,0.7302848903770848,46.4502755758524,96,-3.037879389485635,0.45219559373433976,-40.48710116568489,62,-3.0998707649905,0.47100302154841833,-9.00113081177173,36,-3.0517376417437148,0.8422637027025598,-11.541400182151136,68,-3.1684880464035037,0.6956795616861017,-58.46953434021279,137,-3.1081098210712588,0.43916840835150694,nan,-1,nan,nan,nan,-1,nan,nan
2024-06-25T04:16:01,94.479,nan,-1,nan,nan,8.981302362756168,29,-3.0441699740438617,0.8582045508528738,11.521571733135573,61,-3.1675323676436267,0.7362208215731688,46.4502755758524,96,-3.0373194546445563,0.4595012015998653,-40.48710116568489,62,-3.103687556082168,0.47130611931717636,-9.00113081177173,36,-3.045037128602325,0.8396714958197695,-11.541400182151136,68,-3.1669143081744875,0.6902789898907915,-58.46953434021279,137,-3.109547362965922,0.4379931669924372,nan,-1,nan,nan,-70.46896465555761,153,-3.230739042658052,0.4638174726692272
2024-06-26T04:16:14,95.517,nan,-1,nan,nan,8.981302362756168,29,-3.03567870899608,0.8614773805616874,11.521571733135573,61,-3.1655300127622077,0.7419307147752152,46.4502755758524,96,-3.0365988123583114,0.46698028545876946,-40.48710116568489,62,-3.108657061005547,0.47169672635645526,-8.967706214793054,36,-3.0348138386044594,0.8372693295176089,-11.50797558517246,68,-3.164910303714642,0.685086337773208,-58.46953434021279,137,-3.1114072718163546,0.43667653221266267,-25.47945712225919,15,-3.0560865926889185,0.6432590477526038,nan,-1,nan,nan
2024-06-27T04:16:26,96.554,-25.47945712225919,15,-3.0580804123060807,0.6443697859857621,1.4941926395326561,37,-3.115900818397642,0.8609858411854194,11.521571733135573,61,-3.1630921258292233,0.7477968646647395,46.416850978873725,96,-3.0358038873450415,0.4745519835527211,-40.48710116568489,62,-3.1148168997224785,0.47217476375106,-10.471813078833492,36,-3.112811713966341,0.8350578631589209,-19.529878860054794,56,-3.1808090034825827,0.6767463646850418,-58.46953434021279,137,-3.1136942274448938,0.4351899585798119,nan,-1,nan,nan,nan,-1,nan,nan
2024-06-28T04:16:39,97.591,nan,-1,nan,nan,1.4941926395326561,37,-3.10357058241418,0.8641661902896326,11.521571733135573,61,-3.16022687277003,0.7538178643536114,46.38342638189505,96,-3.0349107422014128,0.4822491966149832,-40.48710116568489,62,-3.122215475904735,0.472740164083495,-10.471813078833492,36,-3.1013736477239333,0.8330376410654556,-19.529878860054794,56,-3.1777383719956838,0.6716954158829428,-58.46953434021279,137,-3.1164141854582987,0.43375542950918416,nan,-1,nan,nan,-60.47501015893337,98,inf,0.49526121535865175
2024-06-29T04:16:51,98.628,nan,-1,nan,nan,1.4941926395326561,37,-3.0897639816518643,0.8674759452553732,19.309502829167172,49,-3.1826625663866843,0.7601400339880321,46.38342638189505,96,-3.0339900083837854,0.4901096556326364,-40.48710116568489,62,-3.1309127178641942,0.512534357683462,-10.471813078833492,36,-3.088538518223733,0.8312092898237669,-19.529878860054794,56,-3.1742217854767096,0.6668694422823086,-58.46953434021279,137,-3.119574202597905,0.4323735382703455,-25.47945712225919,15,-3.0632005045955064,0.6818904174903,nan,-1,nan,nan
2024-06-30T04:17:03,99.663,-25.47945712225919,15,-3.0663382086340842,0.683698132788521,1.4941926395326561,37,-3.0746330238435164,0.870157371306755,19.276078232188496,49,-3.179291161108485,0.7664492465933423,46.35000178491637,96,-3.033089043283781,0.4981308899728872,-40.48710116568489,62,-3.1409823739924048,0.51337747083737,-10.471813078833492,36,-3.074439718721844,0.8295733394174762,-19.529878860054794,56,-3.170271398698936,0.6622699509718247,-58.46953434021279,137,-3.123182692630873,0.4310448226527631,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-01T04:17:14,100.697,nan,-1,nan,nan,2.496930548892948,37,-3.1339262707149467,0.8638640096049702,19.276078232188496,49,-3.1755725716998393,0.7723171822841982,46.316577187937696,96,-3.032235803441811,0.5061844358051668,-40.48710116568489,62,-3.1525138147072953,0.5143197471352636,-11.474550988193783,36,-3.1308443628076232,0.8239386173932242,-19.529878860054794,56,-3.165900707174099,0.6578985235842514,-58.46953434021279,137,-3.1272493177780465,0.4510984918977244,nan,-1,nan,nan,-49.47831775294884,74,-3.1556673788208087,0.5458775377658446
2024-07-02T04:17:26,101.731,nan,-1,nan,nan,2.496930548892948,37,-3.1166368748387474,0.8481151134062692,11.588420927092926,61,-3.145756962980583,0.776902129430958,46.28315259095902,96,-3.031483360919887,0.5142666419340197,-40.48710116568489,62,-3.1656156416072694,0.5153610282970822,-11.474550988193783,36,-3.11514525278529,0.8226863605652545,-19.529878860054794,56,-3.1611241876373084,0.6535637372502815,-58.46953434021279,137,-3.131785290327029,0.44961298450014553,-25.47945712225919,15,-3.073804656881553,0.7190005512768837,nan,-1,nan,nan
2024-07-03T04:17:37,102.763,-25.47945712225919,15,-3.074515445669684,0.7215547051600911,2.496930548892948,37,-3.089423754070243,0.8507621793259168,11.588420927092926,61,-3.14027651728876,0.7825880045268734,46.21630339700167,96,-3.029089578341043,0.5136698845691526,-40.48710116568489,62,-3.1674758801867355,0.5165010764040115,-11.474550988193783,36,-3.093500399777043,0.8258248538765899,-19.529878860054794,56,-3.1550678629679405,0.6494174287713843,-58.46953434021279,137,-3.1355242748463557,0.44793323093043497,nan,-1,nan,nan,nan,-1,nan,nan
